experiment,model,model_clean,category,subject,accuracy,f1_macro
exp1_deep_raw_tcn_loso_isolated_v2,tcn,TCN,Raw CNN/LSTM,DB2_s39,0.30060975609756097,0.26361131699352897
exp1_deep_raw_tcn_loso_isolated_v2,tcn,TCN,Raw CNN/LSTM,DB2_s40,0.25229638701775875,0.21086395328270524
exp1_deep_raw_tcn_loso_isolated_v2,tcn,TCN,Raw CNN/LSTM,DB2_s12,0.23305588585017836,0.18293684010171668
exp1_deep_raw_bigru_loso_isolated_v2,bigru,BiGRU,Raw CNN/LSTM,DB2_s38,0.3587553386211104,0.34967895495925094
exp1_deep_raw_bigru_loso_isolated_v2,bigru,BiGRU,Raw CNN/LSTM,DB2_s5,0.36450268016676596,0.3608005161305265
exp1_deep_raw_bigru_loso_isolated_v2,bigru,BiGRU,Raw CNN/LSTM,DB2_s30,0.47786537295330506,0.45027915320251033
exp1_deep_raw_bigru_loso_isolated_v2,bigru,BiGRU,Raw CNN/LSTM,DB2_s11,0.3625,0.3370827516754479
exp1_deep_raw_bigru_loso_isolated_v2,bigru,BiGRU,Raw CNN/LSTM,DB2_s36,0.40403422982885084,0.3848959643684789
exp1_deep_raw_bigru_loso_isolated_v2,bigru,BiGRU,Raw CNN/LSTM,DB2_s1,0.41914387633769323,0.3859351391109852
exp1_deep_raw_bigru_loso_isolated_v2,bigru,BiGRU,Raw CNN/LSTM,DB2_s26,0.3150769230769231,0.3124727703525544
exp1_deep_raw_bigru_loso_isolated_v2,bigru,BiGRU,Raw CNN/LSTM,DB2_s3,0.26746268656716415,0.2716001119644106
exp1_deep_raw_bigru_loso_isolated_v2,bigru,BiGRU,Raw CNN/LSTM,DB2_s29,0.3276492082825822,0.29212572522261177
exp1_deep_raw_bigru_loso_isolated_v2,bigru,BiGRU,Raw CNN/LSTM,DB2_s14,0.35353535353535354,0.32835819630257157
exp1_deep_raw_bigru_loso_isolated_v2,bigru,BiGRU,Raw CNN/LSTM,DB2_s37,0.15365703749231716,0.10220052218322204
exp1_deep_raw_bigru_loso_isolated_v2,bigru,BiGRU,Raw CNN/LSTM,DB2_s4,0.35101311084624554,0.3321610931581031
exp1_deep_raw_bigru_loso_isolated_v2,bigru,BiGRU,Raw CNN/LSTM,DB2_s13,0.4283164782867341,0.41035844256336185
exp1_deep_raw_bigru_loso_isolated_v2,bigru,BiGRU,Raw CNN/LSTM,DB2_s15,0.2898809523809524,0.27743575027438644
exp1_deep_raw_bigru_loso_isolated_v2,bigru,BiGRU,Raw CNN/LSTM,DB2_s2,0.3039332538736591,0.261345473801852
exp1_deep_raw_bigru_loso_isolated_v2,bigru,BiGRU,Raw CNN/LSTM,DB2_s27,0.4123020706455542,0.40066251693810495
exp1_deep_raw_bigru_loso_isolated_v2,bigru,BiGRU,Raw CNN/LSTM,DB2_s28,0.5115995115995116,0.48657331633613116
exp1_deep_raw_bigru_loso_isolated_v2,bigru,BiGRU,Raw CNN/LSTM,DB2_s39,0.3567073170731707,0.33480848972388266
exp1_deep_raw_bigru_loso_isolated_v2,bigru,BiGRU,Raw CNN/LSTM,DB2_s40,0.37048377219840783,0.320067783561705
exp1_deep_raw_bigru_loso_isolated_v2,bigru,BiGRU,Raw CNN/LSTM,DB2_s12,0.30439952437574314,0.2998608199124515
exp1_deep_raw_cnn_gru_attention_loso_isolated_v2,cnn_gru_attention,CNN-GRU-Attn,Raw CNN/LSTM,DB2_s38,0.411836485661989,0.4066943052617226
exp1_deep_raw_cnn_gru_attention_loso_isolated_v2,cnn_gru_attention,CNN-GRU-Attn,Raw CNN/LSTM,DB2_s5,0.3001786777843955,0.29317252511032754
exp1_deep_raw_cnn_gru_attention_loso_isolated_v2,cnn_gru_attention,CNN-GRU-Attn,Raw CNN/LSTM,DB2_s30,0.5239539114614918,0.5004741908607893
exp1_deep_raw_cnn_gru_attention_loso_isolated_v2,cnn_gru_attention,CNN-GRU-Attn,Raw CNN/LSTM,DB2_s11,0.4125,0.39257834587389995
exp1_deep_raw_cnn_gru_attention_loso_isolated_v2,cnn_gru_attention,CNN-GRU-Attn,Raw CNN/LSTM,DB2_s36,0.39792176039119803,0.3867298126602109
exp1_deep_raw_cnn_gru_attention_loso_isolated_v2,cnn_gru_attention,CNN-GRU-Attn,Raw CNN/LSTM,DB2_s1,0.415576694411415,0.39389390592772344
exp1_deep_raw_cnn_gru_attention_loso_isolated_v2,cnn_gru_attention,CNN-GRU-Attn,Raw CNN/LSTM,DB2_s26,0.26153846153846155,0.26535126186243996
exp1_deep_raw_cnn_gru_attention_loso_isolated_v2,cnn_gru_attention,CNN-GRU-Attn,Raw CNN/LSTM,DB2_s3,0.1964179104477612,0.20322384060652698
exp1_deep_raw_cnn_gru_attention_loso_isolated_v2,cnn_gru_attention,CNN-GRU-Attn,Raw CNN/LSTM,DB2_s29,0.2862362971985384,0.25420408012613305
exp1_deep_raw_cnn_gru_attention_loso_isolated_v2,cnn_gru_attention,CNN-GRU-Attn,Raw CNN/LSTM,DB2_s14,0.37373737373737376,0.35791391414988694
exp1_deep_raw_cnn_gru_attention_loso_isolated_v2,cnn_gru_attention,CNN-GRU-Attn,Raw CNN/LSTM,DB2_s37,0.16103257529194837,0.1071238815441214
exp1_deep_raw_cnn_gru_attention_loso_isolated_v2,cnn_gru_attention,CNN-GRU-Attn,Raw CNN/LSTM,DB2_s4,0.35518474374255066,0.35697947619097264
exp1_deep_raw_cnn_gru_attention_loso_isolated_v2,cnn_gru_attention,CNN-GRU-Attn,Raw CNN/LSTM,DB2_s13,0.3914336704342653,0.36472980633798063
exp1_deep_raw_cnn_gru_attention_loso_isolated_v2,cnn_gru_attention,CNN-GRU-Attn,Raw CNN/LSTM,DB2_s15,0.2773809523809524,0.2783492039665333
exp1_deep_raw_cnn_gru_attention_loso_isolated_v2,cnn_gru_attention,CNN-GRU-Attn,Raw CNN/LSTM,DB2_s2,0.29856972586412395,0.2555907229709922
exp1_deep_raw_cnn_gru_attention_loso_isolated_v2,cnn_gru_attention,CNN-GRU-Attn,Raw CNN/LSTM,DB2_s27,0.43605359317904996,0.4254911473128309
exp1_deep_raw_cnn_gru_attention_loso_isolated_v2,cnn_gru_attention,CNN-GRU-Attn,Raw CNN/LSTM,DB2_s28,0.45604395604395603,0.43151460388968677
